station,boardings_all,alightings_all,throughput_all,days_all,boardings_weekday,alightings_weekday,throughput_weekday,days_weekday,boardings_weekend,alightings_weekend,throughput_weekend,days_weekend,boarding_share,weekend_ratio,first_active,active_days,growth_ratio,opened_mid_window,low_coverage,is_mature
Nallurahalli,8124.291666666667,8050.979166666667,16175.270833333334,48,9690.29411764706,9724.823529411764,19415.117647058825,34,4321.142857142857,3985.9285714285716,8307.07142857143,14,0.49911075965666535,0.4278661391387375,2025-08-01,48,1.0031099561197971,False,False,True
Kundalahalli,8093.8125,8133.729166666667,16227.541666666666,48,9612.970588235294,9562.85294117647,19175.823529411766,34,4404.428571428572,4663.0,9067.42857142857,14,0.5013067925604852,0.47285732253016416,2025-08-01,48,1.001265811958502,False,False,True
Mahalakshmi,10007.083333333334,10354.520833333334,20361.604166666668,48,9462.79411764706,9698.441176470587,19161.235294117647,34,11328.92857142857,11947.857142857143,23276.785714285714,14,0.49385094292704945,1.2147852347197838,2025-08-01,48,1.0303836395786883,False,False,True
Whitefield (Kadugodi),8589.6875,8262.541666666666,16852.229166666668,48,9413.382352941177,9053.0,18466.382352941175,34,6589.285714285715,6342.857142857143,12932.142857142857,14,0.5097577951667339,0.7003073265773212,2025-08-01,48,0.9800872306712188,False,False,True
Attiguppe,8422.604166666666,8076.895833333333,16499.5,48,9310.117647058823,8929.117647058823,18239.235294117647,34,6267.214285714285,6007.214285714285,12274.42857142857,14,0.5104445168302335,0.6729683768807571,2025-08-01,48,1.0214324123626866,False,False,True
Rashtreeya Vidyalaya Road,8548.666666666666,8686.291666666666,17234.958333333332,48,9160.823529411764,9353.617647058823,18514.441176470587,34,7062.0,7065.642857142857,14127.642857142857,14,0.49479341245546005,0.7630607223023954,2025-08-01,48,1.0140385849917222,False,False,True
South End Circle,8153.854166666667,7799.979166666667,15953.833333333334,48,9014.29411764706,8651.20588235294,17665.5,34,6064.214285714285,5732.714285714285,11796.92857142857,14,0.5102767607849797,0.6677947735093018,2025-08-01,48,1.0541629203380687,False,False,True
Garudacharpalya,7586.770833333333,8139.0,15725.770833333334,48,8764.882352941177,9444.79411764706,18209.676470588234,34,4725.642857142857,4967.785714285715,9693.42857142857,14,0.48133103117444015,0.5323229430838669,2025-08-01,48,1.0198065966037841,False,False,True
Singayyanapalya,8271.854166666666,8312.729166666666,16584.583333333332,48,8461.911764705883,8423.382352941177,16885.29411764706,34,7810.285714285715,8044.0,15854.285714285714,14,0.501140916216687,0.9389404533804463,2025-08-01,48,0.9771007835720077,False,False,True
Jalahalli,8106.458333333333,7969.708333333333,16076.166666666666,48,8262.411764705883,8217.970588235294,16480.382352941175,34,7727.714285714285,7366.785714285715,15094.5,14,0.5013483053826921,0.9159071480708794,2025-08-01,48,1.036871207012812,False,False,True
Goraguntepalya,7663.4375,6744.041666666667,14407.479166666666,48,8042.705882352941,7242.588235294118,15285.29411764706,34,6742.357142857143,5533.285714285715,12275.642857142857,14,0.5261727919953819,0.8031015146100772,2025-08-01,48,1.030537294441981,False,False,True
Magadi Road,7350.145833333333,7283.479166666667,14633.625,48,8005.911764705882,7882.35294117647,15888.264705882353,34,5757.571428571428,5829.071428571428,11586.642857142857,14,0.5038883674780313,0.7292579190761533,2025-08-01,48,1.0014944944751913,False,False,True
Madavara,7838.958333333333,7142.75,14981.708333333334,48,7852.14705882353,7325.088235294118,15177.235294117647,34,7806.928571428572,6699.928571428572,14506.857142857143,14,0.5173634661819366,0.9558300218538269,2025-08-01,48,1.297901999719197,False,False,True
Silk Institute,7359.166666666667,6128.083333333333,13487.25,48,7547.882352941177,6278.705882352941,13826.588235294117,34,6900.857142857143,5762.285714285715,12663.142857142857,14,0.5458962272178071,0.9158544856943509,2025-08-01,48,1.1773890142964636,False,False,True
Hoodi,7060.25,6561.541666666667,13621.791666666666,48,7493.558823529412,6955.705882352941,14449.264705882353,34,6007.928571428572,5604.285714285715,11612.214285714286,14,0.5186117754821638,0.803654339655561,2025-08-01,48,0.9915576025958399,False,False,True
Mysore Road,6367.729166666667,5632.958333333333,12000.6875,48,7483.823529411765,6608.588235294118,14092.411764705883,34,3657.214285714286,3263.5714285714284,6920.785714285715,14,0.5310534246632522,0.49110016296988007,2025-08-01,48,1.0580226201481382,False,False,True
Kengeri Bus Terminal,7253.5,7779.6875,15033.1875,48,7448.382352941177,8173.85294117647,15622.235294117647,34,6780.214285714285,6822.428571428572,13602.642857142857,14,0.4767808327497007,0.870723209646238,2025-08-01,48,1.065319776843467,False,False,True
Pattanagere,6045.145833333333,5701.166666666667,11746.3125,48,7160.323529411765,6753.441176470588,13913.764705882353,34,3336.8571428571427,3145.6428571428573,6482.5,14,0.5146215766020953,0.46590553577921145,2025-08-01,48,1.1308704904241105,False,False,True
Lalbagh,6973.020833333333,6878.833333333333,13851.854166666666,48,7024.0,6867.14705882353,13891.14705882353,34,6849.214285714285,6907.214285714285,13756.42857142857,14,0.5056457879436543,0.990301845713354,2025-08-01,48,0.8871494559440289,False,False,True
Challaghatta,6492.291666666667,5476.729166666667,11969.020833333334,48,6503.941176470588,5573.970588235294,12077.911764705883,34,6464.0,5240.571428571428,11704.57142857143,14,0.5384988152899436,0.9690889995383615,2025-08-01,48,1.0605917691314357,False,False,True
Rajarajeshwari Nagar,5862.083333333333,6233.916666666667,12096.0,48,6377.5,6818.35294117647,13195.85294117647,34,4610.357142857143,4814.571428571428,9424.92857142857,14,0.48329577697092896,0.7142341319990715,2025-08-01,48,1.0286753717631494,False,False,True
Srirampura,5897.708333333333,5815.770833333333,11713.479166666666,48,6290.5,6226.941176470588,12517.441176470587,34,4943.785714285715,4817.214285714285,9761.0,14,0.502538810553745,0.779791960864018,2025-08-01,48,1.0530128497332725,False,False,True
Kengeri,5929.020833333333,3032.4375,8961.458333333334,48,6209.588235294118,3256.3823529411766,9465.970588235294,34,5247.642857142857,2488.5714285714284,7736.214285714285,14,0.6559906538281088,0.8172658274819887,2025-08-01,48,1.0316202057763093,False,False,True
